X,Y,AGENCY_NAM,AGENCY_N_1,ADDRESS,PROGRAM
-76.98287529,38.8564345,Moten Elementary School,,1565 Morris Road Southeast,Direct Distributions
-76.9886426,38.8563328,KIPP DC Heights Academy PCS,,2600 Douglas Road SE,Direct Distributions
-76.9932465,38.8556695,"Horton's Kids, Inc",,2500 Pomeroy Rd. SE,Shopping & Direct Distribution
-77.128619,38.855511,Glen Forest ES,,5829 Glen Forest Dr,Direct Distributions
-77.11859119,38.8551702,Harvey Hall Community Center,,850 S Greenbrier Street,Direct Distributions
-77.096501,38.854897,CNP Provider Torrico,,1509 S  Quincy Street,Shopping
-76.96963689,38.8546541,Faith Tabernacle of Prayer,,2465 Alabama Ave. SE,Shopping
-77.13788129,38.8542967,Legal Aid Justice,,3337 Glen Carlyn Drive,Direct Distributions
-77.08277199,38.8541501,Our Lady Queen of Peace Church,,2700 S. 19 th Street,Shopping & Direct Distribution
-77.13552869,38.8537435,Culmore United Methodist Church-Grace Ministries,,5901 Leesburg Pike,Shopping & Direct Distribution
-76.91716609,38.8535492,Suitland High School,,5200 Silver Hill Rd.,Direct Distributions
-77.10903799,38.853403,CNP Torrico,,1201 S. Columbus St,Shopping
-77.0027441,38.8530923,UPO Petey Greene Center Community Site,,2701 Martin Luther King Jr AVE SE,Direct Distributions
-77.10846199,38.852749,CNP Provider Paniagua,,1223 S Columbus Street,Shopping
-76.96916179,38.8522915,Knox Hill Residential Site,,2700 Jasper ST SE,Direct Distributions
-77.14528199,38.851973,Baileys Elementary School,,6111 Knollwood Drive,Direct Distributions
-76.8907808,38.8516574,"Mt. Calvary Catholic Church, Ladies of Charity Food Pantry",,6706 Marlboro Pike,Shopping & Direct Distribution
-77.1000987,38.8514428,Greenbrier Learning Center @ Virginia Gardens,,1710 S. Taylor St,Direct Distributions
-76.9196248,38.8513825,Bradley Christian Mission Center/Pilgrimage Christian Church,,5105 Silver Hill Rd,Shopping
-76.97432099,38.8509643,Staton Dwellings Cmty Distributon,,2200 Alabama Ave SE,Direct Distributions
-77.33402889,38.8502333,James Mott Community Assistance Program,,11215D Lee Highway,Shopping
-76.9727205,38.8497146,"Destiny World Changers, Inc.",,2244 Savannah Terrace SE,Shopping
-76.9959636,38.8495183,801 East Housing Assistance Center,,"2700 Martin Luther King Ave., SE",Shopping
-76.97256549,38.8488819,Capital View at YMCA,,2118 Ridgecrest Court SE,Direct Distributions
-77.0844398,38.8486264,The Shelton,,3215 24th Street South,Direct Distributions
-77.08703849,38.8483444,Charles Drew Community Center - Youth,Charles Drew Community Center- Teens,3500 S. 23rd St,Direct Distributions
-77.0694699,38.8481346,Gunston Community Center,,2700 S. Lang St,Direct Distributions
-76.97212379,38.8473769,Walker House Residential Site,,2201 Savannah ST SE,Direct Distributions
-76.92504509,38.8472303,Sistas United,,4725 Silver Hill Road,Shopping
-77.08677969,38.8468195,Fort Henry Gardens Community Center,,2470 South Lowell Street,Direct Distributions
-76.86846099,38.846114,Faith United Ministries Outreach,,7905 Fernham Lane,Shopping
-76.984084,38.846116,Freedom Chapel Church,,1430 Alabama Ave SE,Shopping
-76.90705099,38.845516,Suitland Community Center,,5600 Regency Ln,Direct Distributions
-76.8749722,38.8451131,Soul Factory,,7702 Marlboro Pike Road,Shopping & Direct Distribution
-76.96527869,38.8450448,Hillcrest Heights,,2300 Oxon Rud Dr,Direct Distributions
-77.0677144,38.8444631,The Berkeley Community Center,,2910 South Glebe Road,Direct Distributions
-76.993886,38.844045,Greater Fellowship Missionary Baptist Church,,814 Alabama Ave  SE,Shopping
-77.09186979,38.8436386,Virginia Gardens Community Center,,1710 South Taylor Street,Direct Distributions
-76.98636899,38.8435847,Congress Park,,1345 Savannah St SE,Direct Distributions
-77.0667154,38.8432196,Community Lodgings at Brookside,,601 Four Mile Road,Direct Distributions
-76.99988359,38.842743,Brighter Day Ministries Food Pantry,,421 Alabama Ave SE,Shopping
-76.87050799,38.842667,Agape Outreach Ministries,,7808 Marlboro Pike,Shopping
-77.13648619,38.8424812,Baileys Senior Center,Baileys Crossroads Community Center,5920 Summers Lane,Direct Distributions
-76.93817699,38.8417105,Refuge Ministries,,4053 Silver Hill Road,Shopping & Direct Distribution
-77.06738469,38.8416242,Community Lodgings at Fifer,,607 Notabene Drive,Direct Distributions
-77.0045487,38.8415048,Assumption Outreach,Center City,"220 Highview Place, S.E.",Shopping & Direct Distribution
-76.893455,38.840831,Life Builders,,6608 Wilkins Place,Shopping
-76.99364409,38.8406263,Eagle Academy PCS at McGogney,,3400 Wheeler Road SE,Direct Distributions
-76.93294999,38.840343,New Revival Center of Renewal,,3600 Maywood Lane,Shopping
-77.00443609,38.8400841,Congress Heights Senior Wellness Center,,3500 Martin Luther King Jr Ave SE,Direct Distributions
-76.91950939,38.839626,William Beanes Community Center,,51087 Dianna Dr,Direct Distributions
-77.00142269,38.8393559,Ballou STAY,Ballou High School,"3401 4th St SE,",Direct Distributions
-77.45115099,38.837992,CNP Zulma Meneces,,6133 Rocky Way Ct.,Shopping
-77.00645199,38.838111,Unity of Love Food Pantry,,3703 Martin Luther King Jr Ave SE,Shopping
-76.99720809,38.8375662,Hart Middle School,,601 Mississippi Ave. SE,Direct Distributions
-76.98903599,38.837369,Wheeler Terrace,,1233 Valley Avenue SE 20032,Direct Distributions
-77.06465029,38.8372993,Grace Episcopal Church,,3601 Russell Road,Shopping
-77.006245,38.837076,Congress Heights Clinic,,3720 Martin Luther King Jr Ave,Direct Distributions
-77.20331669,38.8360917,Annandale Distibution,,4100 Wadsworth Court,Direct Distributions
-77.00684,38.836129,Higher Ground Community Church,,3754 Martin Luther King Jr. Ave SE,Shopping
-77.00001519,38.8359119,Simon Elementary School Food Pantry,,401 Mississippi Ave SE,Direct Distributions
-76.9940286,38.8358959,The Overlook at Oxon Run,,3700 9th st SE,Direct Distributions
-77.00509299,38.835848,St Paul Living of Wayne Place,,114 Wayne Place SE,Direct Distributions
-77.1576893,38.8356752,Mount Pleasant Baptist Church,,6477 Lincolnia Road,Shopping
-76.99176359,38.8356465,Wheeler Creek Residential Site,,900 Varney ST SE,Direct Distributions
-76.86753369,38.8351272,New Life Changing Ministry,,8023 D Penn - Randall Place,Shopping
-77.2154277,38.8344025,Gateway Homes,,4024 Hirst Drive,Shopping
-76.9461733,38.8344369,Marlow Heights Community Center,,2800 St Claire Dr,Direct Distributions
-77.00884019,38.83415229,Covenant Community Pantry,,3845 S Capitol St SW,Shopping
-76.985942,38.834143,CPDC - Arbor View,,"1212 Southern Ave., SE",Shopping
-76.98552789,38.8335393,Arbor View Apartments Residential Site,,1200 Southern AVE SE,Direct Distributions
-76.96232499,38.83304899,Hillcrest Baptist Church,,2200 Iverson St.,Shopping
-76.99530109,38.8324938,Ferebee Hope Recreation Center,,3999 8th Street SE,Direct Distributions
-77.0002722,38.8321159,Paramount Baptist Church,,3924 4th St SE,Shopping & Direct Distribution
-76.930591,38.831531,Southern Friendship Missionary Baptist Church,,4444 Branch Avenue,Direct Distributions
-76.989567,38.8310119,Family Matters of Greater Washington Community Site,,4301 9th ST SE,Direct Distributions
-76.9899598,38.8305117,Dupont Park Residential Site,,896 Southern AVE SE,Direct Distributions
-76.96696489,38.8300788,United Methodist Church of the Reedemer,,1901 Iverson Street,Shopping
-76.99134339,38.8294502,"Access Housing, Inc.",,840 Chesapeake St SE,Shopping & Direct Distribution
-77.13543899,38.828316,CNP Provider Guzman,,6003 Kelley Ct.,Shopping
-77.0024408,38.828283,Winn Residential,,4319 3rd Street SE,Direct Distributions
